Width (m),Discharge (m3/s),D50 (m),Depth (m),
0.30,0.00252,0.00045,0.01,
0.30,0.00285,0.00045,0.01,
0.30,0.00279,0.00045,0.01,
0.45,0.00297,0.00045,0.01,
0.45,0.00288,0.00045,0.03,
0.45,0.00325,0.00045,0.03,
0.45,0.00331,0.00045,0.05,
0.45,0.00274,0.00045,0.03,
0.45,0.00344,0.00045,0.03,
1.00,0.0171,0.00045,0.03,
0.45,0.00308,0.00045,0.03,
0.17,0.00083,0.00045,0.03,
0.17,0.00061,0.00045,0.03,
0.17,0.00077,0.00045,0.03,
0.17,0.00067,0.00045,0.03,
0.17,0.00065,0.00045,0.03,
0.17,0.00072,0.00045,0.03,
0.17,0.00067,0.00045,0.05,
0.40,0.00152,0.00045,0.03,
0.40,0.00147,0.00045,0.01,
1.00,0.0129,0.00045,0.01,
0.40,0.00126,0.00045,0.01,
0.40,0.00123,0.00045,0.01,
0.40,0.00143,0.00045,0.01,
0.40,0.00132,0.00045,0.01,
0.20,0.00104,0.00045,0.01,
0.20,0.00104,0.00045,0.02,
0.20,0.00114,0.00045,0.02,
0.20,0.00110,0.00045,0.05,
0.13,0.00064,0.00045,0.02,
0.13,0.00077,0.00045,0.02,
1.00,0.0150,0.00045,0.02,
0.13,0.00067,0.00045,0.02,
0.13,0.00070,0.00045,0.02,
0.13,0.00064,0.00045,0.02,
0.13,0.00067,0.00045,0.02,
0.20,0.00075,0.00045,0.02,
0.20,0.00075,0.00045,0.01,
0.20,0.00073,0.00045,0.01,
0.20,0.00073,0.00045,0.05,
0.20,0.00073,0.00045,0.01,
0.20,0.00075,0.00045,0.01,
1.00,0.0150,0.00045,0.01,
0.25,0.00091,0.00045,0.01,
0.25,0.00097,0.00045,0.01,
0.25,0.00091,0.00045,0.01,
0.25,0.00097,0.00045,0.01,
0.25,0.00105,0.00045,0.01,
0.10,0.00021,0.00045,0.01,
0.10,0.00020,0.00045,0.01,
0.10,0.00021,0.00045,0.05,
0.10,0.00020,0.00045,0.02,
1.12,0.0249,0.00045,0.02,
0.35,0.00189,0.00045,0.02,
1.12,0.0285,0.00045,0.02,
1.12,0.0269,0.00045,0.02,
1.83,0.0328,0.00045,0.01,
1.83,0.0306,0.00045,0.01,
1.83,0.0306,0.00045,0.01,
1.02,0.0112,0.00045,0.01,
1.02,0.0088,0.00045,0.06,
1.02,0.0103,0.00045,0.02,
1.02,0.0111,0.00045,0.06,
0.43,0.00324,0.00045,0.06,
0.35,0.00189,0.00045,0.06,
0.43,0.00341,0.00045,0.06,
0.43,0.00284,0.00045,0.06,
1.04,0.0311,0.00045,0.05,
1.04,0.0343,0.00045,0.05,
1.04,0.0286,0.00045,0.05,
1.49,0.0521,0.00045,0.05,
1.49,0.0491,0.00045,0.03,
1.49,0.0391,0.00045,0.02,
1.49,0.0429,0.00045,0.03,
2.39,0.19,0.00045,0.03,
1.20,0.0117,0.00045,0.10,
0.35,0.00216,0.00045,0.10,
2.39,0.18,0.00045,0.10,
2.39,0.18,0.00045,0.09,
1.68,0.13,0.00045,0.09,
1.68,0.14,0.00045,0.09,
2.29,0.16,0.00045,0.09,
2.29,0.16,0.00045,0.17,
2.29,0.15,0.00045,0.04,
2.54,0.0797,0.00045,0.02,
2.54,0.11,0.00045,0.17,
2.54,0.0948,0.00045,0.17,
0.35,0.00204,0.00045,0.19,
2.54,0.11,0.00045,0.19,
2.54,0.13,0.00045,0.15,
2.54,0.13,0.00045,0.15,
2.54,0.11,0.00045,0.15,
2.54,0.13,0.00045,0.10,
2.54,0.13,0.00045,0.10,
2.54,0.17,0.00045,0.10,
2.54,0.14,0.00045,0.02,
2.16,0.14,0.00045,0.10,
2.16,0.15,0.00045,0.17,
0.35,0.00206,0.00045,0.17,
2.16,0.11,0.00045,0.17,
2.16,0.14,0.00045,0.15,
0.89,0.0246,0.00045,0.15,
0.89,0.0241,0.00045,0.15,
0.89,0.0241,0.00045,0.15,
1.40,0.0644,0.00045,0.15,
