Width (m),Discharge (m3/s),D50 (m),Depth (m),
3.90,0.19,0.007,3.39,
3.16,0.66,0.006,3.59,
22.00,1.58,0.015,2.36,
10.90,1.82,0.012,4.43,
11.20,1.08,0.001,5.91,
48.00,6.77,0.005,5.67,
6.07,0.16,0.0045,5.27,
1.91,0.55,0.007,5.12,
32.00,40.00,0.00025,3.83,
120.00,665.00,0.0014,2.51,
17.10,12.00,0.0005,4.60,
58.00,226.00,0.018,6.27,
32.00,187.00,0.072,1.25,
29.00,45.30,0.035,2.04,
31.00,23.80,0.115,2.03,
69.00,668.00,0.014,2.76,
13.00,24.50,0.015,4.52,
27.00,10.50,0.066,5.89,
18.60,24.90,0.04,5.58,
99.10,580.60,0.021,4.61,
16.00,73.60,0.0062,1.95,
15.00,12.60,0.015,2.09,
3.00,3.00,0.038,2.77,
17.00,5.50,0.045,3.27,
8.20,13.20,0.0034,5.25,
39.60,70.80,0.045,4.07,
42.10,91.80,0.012,2.02,
4.00,1.70,0.165,1.55,
4.00,6.20,0.03,1.10,
3.00,4.50,0.076,10.00,
7.00,5.00,0.06,1.22,
7.00,7.50,0.12,1.40,
10.00,5.70,0.027,0.37,
34.10,11.30,0.072,0.43,
16.50,22.20,0.035,0.70,
13.00,17.60,0.15,0.91,
33.00,69.40,0.013,1.77,
29.00,79.30,0.001,2.01,
25.00,8.20,0.048,1.16,
23.50,27.50,0.042,1.86,
47.00,368.00,0.045,2.41,
32.00,116.00,0.005,0.55,
13.70,12.20,0.0027,1.30,
13.00,10.90,0.06,0.74,
17.00,24.00,0.083,0.90,
20.00,40.00,0.064,0.67,
18.00,45.00,0.104,0.60,
27.00,66.00,0.022,0.66,
23.00,68.00,0.049,0.53,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
