Width (m),Discharge (m3/s),,
5.50,5.60,,
14.90,12.50,,
4.60,1.70,,
5.80,2.70,,
7.90,3.70,,
10.40,17.50,,
4.30,1.20,,
9.14,5.41,,
4.57,1.44,,
105.00,570.00,,
11.00,16.84,,
18.00,23.00,,
18.23,37.10,,
1.97,0.34,,
13.81,32.85,,
3.44,0.76,,
15.33,4.84,,
2.93,0.96,,
13.87,24.15,,
27.95,117.51,,
29.38,100.52,,
2.86,0.88,,
8.90,8.58,,
2.39,0.28,,
2.76,0.57,,
6.37,7.70,,
8.66,5.80,,
41.15,197.65,,
20.91,32.28,,
45.72,169.90,,
31.70,37.94,,
4.57,2.78,,
31.09,96.28,,
24.38,31.15,,
0.91,0.57,,
3.05,1.10,,
44.20,93.45,,
0.82,0.28,,
7.62,2.15,,
12.19,11.33,,
3.05,2.83,,
27.43,53.80,,
15.85,11.61,,
3.66,0.99,,
0.61,0.24,,
22.86,29.73,,
15.24,12.74,,
4.57,2.27,,
8.53,4.25,,
3.05,0.68,,
1.22,2.10,,
0.91,0.37,,
20.73,25.23,,
14.33,8.50,,
56.00,193.50,,
18.60,14.80,,
5.30,7.20,,
14.20,32.10,,
13.00,21.70,,
25.80,47.80,,
7.40,12.50,,
8.30,16.90,,
23.70,76.90,,
15.40,36.10,,
2.90,1.10,,
24.00,77.20,,
2.00,0.70,,
2.00,0.20,,
4.50,1.00,,
5.50,1.80,,
8.20,1.10,,
5.30,2.20,,
5.76,3.24,,
15.58,17.38,,
12.30,17.80,,
13.20,18.80,,
26.30,75.30,,
30.78,74.02,,
13.70,29.20,,
16.50,25.90,,
13.30,10.30,,
15.80,29.00,,
17.70,37.80,,
15.85,29.59,,
20.10,39.30,,
20.40,72.50,,
20.40,55.50,,
25.36,52.87,,
23.62,59.44,,
5.82,4.60,,
20.73,47.40,,
15.18,29.00,,
4.03,3.25,,
22.98,43.35,,
10.55,6.22,,
5.36,2.43,,
16.40,9.60,,
11.10,6.30,,
35.75,77.19,,
9.05,5.18,,
2.26,0.34,,
11.30,15.30,,
10.20,2.80,,
9.20,7.70,,
11.83,13.16,,
17.30,19.10,,
54.90,154.90,,
24.40,65.00,,
7.60,23.40,,
88.40,427.00,,
42.70,313.90,,
56.40,73.10,,
67.10,73.10,,
33.50,303.00,,
25.90,90.70,,
48.80,252.00,,
17.89,23.53,,
41.45,176.13,,
49.99,210.39,,
33.22,46.16,,
10.91,2.86,,
27.71,64.00,,
32.92,48.70,,
20.73,27.24,,
44.81,101.94,,
17.16,33.98,,
11.67,9.23,,
12.62,20.33,,
34.75,74.19,,
46.94,127.99,,
45.11,112.13,,
28.80,55.50,,
48.77,91.75,,
15.64,11.33,,
15.20,16.76,,
4.50,1.27,,
14.40,12.43,,
35.50,37.66,,
10.40,6.14,,
7.10,0.65,,
29.10,35.68,,
6.60,0.48,,
3.70,0.20,,
40.60,75.04,,
10.90,7.36,,
3.30,0.59,,
35.50,37.66,,
14.50,14.95,,
11.70,10.62,,
14.45,12.43,,
11.70,9.97,,
10.09,11.27,,
6.10,7.02,,
11.03,7.19,,
14.17,8.81,,
18.04,37.10,,
34.00,120.00,,
33.90,38.20,,
14.90,6.40,,
40.90,45.30,,
14.20,1.40,,
32.60,25.20,,
140.00,1200.00,,
145.00,980.00,,
160.00,830.00,,
35.57,82.12,,
10.06,5.15,,
35.51,59.47,,
37.70,67.96,,
31.09,72.94,,
3.40,3.40,,
41.60,142.00,,
142.50,2210.00,,
187.00,2607.00,,
9.88,8.47,,
59.44,178.96,,
10.96,7.67,,
4.83,2.24,,
10.90,8.41,,
20.23,29.17,,
18.48,32.60,,
42.43,89.20,,
17.07,22.50,,
52.63,181.20,,
5.18,1.47,,
46.63,79.90,,
54.10,182.36,,
21.70,56.07,,
45.59,114.68,,
24.52,78.44,,
20.14,31.43,,
25.78,37.70,,
24.13,48.70,,
15.16,14.36,,
20.45,15.57,,
15.68,12.30,,
11.55,2.50,,
15.92,17.36,,
4.92,1.93,,
25.51,70.79,,
16.83,9.90,,
6.70,1.10,,
11.64,7.39,,
12.41,7.65,,
68.99,182.36,,
4.65,2.04,,
17.22,2.83,,
11.43,12.40,,
53.48,136.77,,
18.26,19.20,,
17.33,19.54,,
3.37,0.82,,
97.55,236.16,,
8.01,4.93,,
14.68,9.74,,
11.38,2.49,,
8.30,4.40,,
57.20,117.20,,
10.17,4.25,,
16.48,17.84,,
10.71,3.77,,
35.56,87.78,,
19.00,29.73,,
10.96,7.67,,
49.15,175.56,,
10.90,8.41,,
20.86,34.83,,
24.52,78.44,,
59.34,200.20,,
14.60,5.55,,
16.75,19.23,,
35.38,68.53,,
45.11,159.71,,
13.11,9.17,,
17.07,22.74,,
31.15,118.36,,
16.96,33.13,,
33.26,60.03,,
33.73,142.43,,
31.48,85.52,,
19.96,25.88,,
11.75,6.43,,
74.22,188.02,,
17.30,16.40,,
7.00,8.50,,
25.10,15.50,,
4.60,2.20,,
74.70,104.80,,
10.10,7.50,,
7.60,3.40,,
3.60,1.30,,
49.89,65.41,,
107.00,700.00,,
23.00,40.00,,
104.00,255.00,,
87.00,354.00,,
242.00,2661.00,,
333.00,2280.00,,
356.00,2718.00,,
48.00,40.00,,
111.00,733.00,,
311.00,2890.00,,
493.00,9628.00,,
52.00,416.99,,
2286.00,216340.71,,
26.70,35.00,,
22.77,23.42,,
138.00,875.00,,
34.024824,60.31488324,,
7.65048,5.861587245,,
11.59764,16.14060256,,
21.500592,25.48516193,,
27.29484,33.98021591,,
27.2796,33.98021591,,
22.728936,65.12874716,,
23.429976,41.62576449,,
8.805672,4.247526989,,
34.058352,56.63369318,,
47.75,186.9,,
13.47216,24.918825,,
23.664672,43.89111222,,
59.8932,116.099071,,
39.084504,82.11885512,,
12.874752,24.918825,,
22.00,34.00,,
107.00,622.67,,
168.80,1543.45,,
77.50,579.53,,
102.00,608.43,,
160.50,978.71,,
128.50,1020.76,,
137.35,1319.62,,
195.50,2928.89,,
127.05,1428.97,,
103.05,2012.31,,
37.50,20.00,,
42.20,25.00,,
7.50,2.27,,
22.86,40.72,,
21.34,14.10,,
10.94,10.34,,
31.67,35.28,,
28.32,24.32,,
8.29,4.56,,
10.73,11.75,,
9.88,2.83,,
13.29,7.76,,
34.50,18.09,,
27.55,24.00,,
15.12,10.70,,
21.40,22.40,,
21.34,22.06,,
15.76,5.30,,
18.41,34.66,,
15.24,5.49,,
13.11,11.13,,
19.63,24.95,,
8.38,2.61,,
15.82,4.08,,
23.47,5.47,,
12.62,6.60,,
15.00,7.39,,
7.32,1.95,,
26.61,18.70,,
23.38,11.41,,
19.20,3.28,,
21.95,9.66,,
22.28,9.80,,
27.22,18.72,,
12.31,5.30,,
16.46,14.22,,
56.97,125.02,,
16.92,1.67,,
7.83,2.35,,
20.73,99.11,,
10.97,24.07,,
40.84,88.91,,
14.33,46.16,,
10.67,16.57,,
9.75,36.81,,
37.49,61.59,,
30.48,127.43,,
43.59,58.90,,
89.31,308.65,,
64.92,453.07,,
76.81,396.44,,
67.06,311.49,,
74.68,566.34,,
50.29,254.85,,
74.98,566.34,,
73.46,368.12,,
70.10,283.17,,
15.91,19.51,,
13.10,,,
6.55,1.53,,
4.20,1.30,,
6.64,5.72,,
21.00,,,
21.90,77.30,,
25.90,,,
4.70,,,
33.31,34.55,,
